보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (USD),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (USD)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (USD),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (USD),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (USD)
2026-03-01,2026-03-31,잠재고객_KC인증_단일이미지_이미지교체,욕실인테리어_260127_잠재고객,잠재고객_250109,inactive,USD,클릭 후 7일 또는 조회 후 1일,1,actions:lead,139,1.158273,2.49,캠페인 예산 사용,0,2.49,진행 중,-,-,-,161,15.465839,9,,0.276667,5.590062,9,5.590062,0.276667,,
2026-03-01,2026-03-31,260220_잠재고객_100만원대초반_이미지1,욕실인테리어_260127_잠재고객,잠재고객_250109,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,4,1,,캠페인 예산 사용,0,0.07,진행 중,-,-,-,4,17.5,0,,,,0,0,,,
2026-03-01,2026-03-31,260220_잠재고객_리모델링고민중?_슬라이딩,욕실인테리어_260127_잠재고객,잠재고객_250109,active,USD,클릭 후 7일 또는 조회 후 1일,2,actions:lead,14,1.071429,0.29,캠페인 예산 사용,0,0.58,진행 중,-,-,-,15,38.666667,4,,0.145,26.666667,6,40,0.096667,,
2026-03-01,2026-03-31,260220_잠재고객_욕실을바꾸고_이미지2,욕실인테리어_260127_잠재고객,잠재고객_250109,active,USD,클릭 후 7일 또는 조회 후 1일,16,actions:lead,5753,1.709195,8.624375,캠페인 예산 사용,0,137.99,진행 중,-,-,-,9833,14.033357,299,,0.461505,3.040781,414,4.210312,0.333309,,
2026-03-01,2026-03-31,260220_잠재고객_평당100만원으로_이미지3,욕실인테리어_260127_잠재고객,잠재고객_250109,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,291,1.092784,,캠페인 예산 사용,0,4.74,진행 중,-,-,-,318,14.90566,13,,0.364615,4.08805,18,5.660377,0.263333,,
2026-03-01,2026-03-31,260220_잠재고객_저렴하면_슬라이딩,욕실인테리어_260127_잠재고객,잠재고객_250109,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,14,1.071429,,캠페인 예산 사용,0,0.24,진행 중,-,-,-,15,16,0,,,,0,0,,,
2026-03-01,2026-03-31,260220_잠재고객_구축리모델링_이미지4,욕실인테리어_260127_잠재고객,잠재고객_250109,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,100,1.17,,캠페인 예산 사용,0,1.86,진행 중,-,-,-,117,15.897436,6,,0.31,5.128205,5,4.273504,0.372,,
2026-03-01,2026-03-31,260220_잠재고객_구축아파트_영상,욕실인테리어_260127_잠재고객,잠재고객_250109,active,USD,클릭 후 7일 또는 조회 후 1일,123,actions:lead,16744,2.207776,4.303333,캠페인 예산 사용,0,529.31,진행 중,-,-,-,36967,14.318446,871,,0.607704,2.356155,1353,3.660021,0.391212,,
2026-03-01,2026-03-31,260305_바가지_구축아파트_영상,욕실인테리어_260127_잠재고객,잠재고객_250109,inactive,USD,클릭 후 7일 또는 조회 후 1일,1,actions:lead,62,1.016129,1.49,캠페인 예산 사용,0,1.49,진행 중,-,-,-,63,23.650794,3,,0.496667,4.761905,4,6.349206,0.3725,,
2026-03-01,2026-03-31,260305_구축아파트견적_구축아파트,욕실인테리어_260127_잠재고객,잠재고객_250109,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,60,1.133333,,캠페인 예산 사용,0,1.1,진행 중,-,-,-,68,16.176471,2,,0.55,2.941176,2,2.941176,0.55,,
2026-03-01,2026-03-31,260305_하도급_구축아파트_영상,욕실인테리어_260127_잠재고객,잠재고객_250109,inactive,USD,클릭 후 7일 또는 조회 후 1일,1,actions:lead,48,1.083333,1.69,캠페인 예산 사용,0,1.69,진행 중,-,-,-,52,32.5,1,,1.69,1.923077,2,3.846154,0.845,,
2026-03-01,2026-03-31,260309_잠재고객_구축아파트_영상_탈리폼연동,욕실인테리어_260127_잠재고객,잠재고객_250109,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,36,1.027778,,캠페인 예산 사용,0,0.5,진행 중,-,-,-,37,13.513514,0,,,,0,0,,,
2026-03-01,2026-03-31,잠재고객_KC인증_단일이미지_이미지교체 - 사본,욕실인테리어_260127_잠재고객,잠재고객_250109,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,114,1.061404,,캠페인 예산 사용,0,1.68,진행 중,-,-,-,121,13.884298,3,,0.56,2.479339,3,2.479339,0.56,,
2026-03-01,2026-03-31,260320_잠재고객_구축아파트_영상,욕실인테리어_260127_잠재고객,잠재고객_250109,inactive,USD,클릭 후 7일 또는 조회 후 1일,3,actions:lead,200,1.21,2.403333,캠페인 예산 사용,0,7.21,진행 중,-,-,-,242,29.793388,11,,0.655455,4.545455,24,9.917355,0.300417,,
2026-03-01,2026-03-31,260313_잠재고객_구축아파트_영상,욕실인테리어_260127_잠재고객,잠재고객_250313,inactive,USD,클릭 후 7일 또는 조회 후 1일,4,actions:lead,308,1.483766,3.0575,캠페인 예산 사용,0,12.23,진행 중,-,-,-,457,26.761488,17,,0.719412,3.719912,27,5.908096,0.452963,,
2026-03-01,2026-03-31,260313_잠재고객_구축리모델링_이미지2,욕실인테리어_260127_잠재고객,잠재고객_250313,active,USD,클릭 후 7일 또는 조회 후 1일,6,actions:lead,2853,1.581493,9.075,캠페인 예산 사용,0,54.45,진행 중,-,-,-,4512,12.067819,146,,0.372945,3.235816,165,3.656915,0.33,,
2026-03-01,2026-03-31,260313_잠재고객_KC인증_이미지1,욕실인테리어_260127_잠재고객,잠재고객_250313,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,82,1.060976,,캠페인 예산 사용,0,1.18,진행 중,-,-,-,87,13.563218,1,,1.18,1.149425,1,1.149425,1.18,,
2026-03-01,2026-03-31,260313_잠재고객_평당100만원으로_이미지3,욕실인테리어_260127_잠재고객,잠재고객_250313,inactive,USD,클릭 후 7일 또는 조회 후 1일,1,actions:lead,782,1.340153,18.66,캠페인 예산 사용,0,18.66,진행 중,-,-,-,1048,17.805344,31,,0.601935,2.958015,39,3.721374,0.478462,,
2026-03-01,2026-03-31,260313_잠재고객_구축아파트_영상2,욕실인테리어_260127_잠재고객,잠재고객_250313,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,52,1.326923,,캠페인 예산 사용,0,1.95,진행 중,-,-,-,69,28.26087,1,,1.95,1.449275,1,1.449275,1.95,,
